BPI RK,TEAM,CONF,BPI,PVA,CONF RK,W-L,RAW,RAW RK,SOS,SOS RK,VAR,VAR RK
181,Norfolk State,MEAC,48.8,-0.4,2,20-13,58.6,105,40.3,297,19,177
182,UL Monroe,Sun Belt,48.8,-0.4,4,21-11,57,124,41.8,265,21.6,67
183,Colgate,Patriot,48.5,-0.5,1,16-17,54.5,139,44,222,21.6,69
184,TX-Arlington,Sun Belt,48.5,-0.5,5,16-15,52.5,158,46.1,193,22.7,36
185,Lafayette,Patriot,48.5,-0.5,2,20-12,54.6,138,43.9,223,22.6,39
186,James Madison,CAA,48.4,-0.5,5,19-13,49,203,49.5,154,22.5,40
187,Monmouth,MAAC,48.4,-0.5,6,18-15,52.2,162,46.2,191,19.4,159
188,Rutgers,Big Ten,48.2,-0.6,14,22-10,33.4,331,64.8,38,20.4,113
189,Santa Clara,WCC,48.1,-0.6,8,14-18,43.1,265,55,108,20.8,95
190,UT Martin,OVC,48,-0.6,5,18-12,56.1,127,41.9,264,18.4,201
191,Dartmouth,Ivy,47.9,-0.7,5,14-14,51.4,175,46.5,188,26.6,3
192,N Illinois,MAC,47.6,-0.7,9,14-16,47.8,215,49.8,152,18.9,180
193,Robert Morris,NEC,47.4,-0.8,2,19-14,54,143,43.4,231,23.5,25
194,N.J.I.T.,Indep.,47.3,-0.9,1,18-11,57.7,115,39.6,311,20.6,104
195,Duquesne,A 10,47,-1,11,19-Dec,43.4,260,53.5,116,24.7,10
196,Fordham,A 10,47,-1,12,21-Oct,40.9,274,56.1,101,23.9,20
197,Sacramento St,Big Sky,46.9,-1,3,20-11,57.4,118,39.5,315,18.8,185
198,Tulane,American,46.6,-1.1,7,15-16,45.6,232,51,136,19.8,142
199,Air Force,MW,46.5,-1.1,8,14-17,49.5,198,47,182,20.5,107
200,East Tenn St,Southern,46.5,-1.1,4,16-14,52.3,160,44.2,220,15.9,280
201,Gardner-Webb,Big South,46.4,-1.1,6,20-14,51.7,172,44.7,212,19.6,149
202,Incarnate Word,Southland,46.3,-1.2,3,18-10,58.6,103,37.7,332,17,249
203,N Arizona,Big Sky,46.3,-1.2,4,19-14,53.4,149,42.9,243,20.6,103
204,New Hampshire,Am. East,46.3,-1.2,4,19-12,58.7,102,37.5,334,19,176
205,Fresno State,MW,46.2,-1.2,9,15-17,45.5,233,50.7,141,18.5,197
206,Bucknell,Patriot,45.9,-1.3,3,19-14,51.3,178,44.6,218,19.7,148
207,Cornell,Ivy,45.9,-1.3,6,13-17,48.9,205,47,183,24.7,11
208,George Mason,A 10,45.8,-1.3,13,9/22,36.8,307,59,80,18.5,200
209,Miami (OH),MAC,45.8,-1.3,10,13-19,43.8,252,52,129,20.2,128
210,E Illinois,OVC,45.8,-1.3,6,17-14,49.1,201,46.7,185,21.6,66
211,Texas Southern,SWAC,45.6,-1.4,1,21-12,54.8,136,40.8,285,19.5,152
212,American U,Patriot,45.3,-1.5,4,17-16,50.3,189,45,207,23.9,21
213,Oral Roberts,Summit,45.3,-1.5,4,18-14,51.4,176,43.9,224,19.8,138
