Ranking,School,2014 Win Pct,2013 Win Pct
341,Binghamton,0.167,0.056
342,Central Conn,0.161,0.056
343,Alcorn State,0.143,0.053
344,Liberty,0.143,0
345,Maryland BC,0.133,0.118
346,TN State,0.103,0
347,Maine,0.1,0.053
348,Central Ark,0.069,0
349,Florida A&M,0.069,0
350,San Jose St,0,0
351,Grambling St,0,0
