Rank,Team,BPI,PVA
281,Pennsylvania,35.6,-4.7
282,Towson,35.6,-4.7
283,UMKC,35.5,-4.7
284,Youngstown St,35.4,-4.8
285,Florida Atl,35,-4.9
286,Charleston,34.6,-5
287,Hartford,34.5,-5.1
288,UNC Greensboro,34.4,-5.1
289,UIC,34.3,-5.1
290,Campbell,34.2,-5.2
291,Arkansas State,34,-5.2
292,Appalachian St,34,-5.2
293,Lipscomb,33.5,-5.4
294,McNeese State,33.3,-5.5
295,CS Fullerton,33.1,-5.6
296,Hampton,33.1,-5.6
297,LIU Brooklyn,32.6,-5.8
298,Houston Baptist,32.3,-5.8
299,SE Louisiana,32.2,-5.9
300,South Alabama,32.1,-5.9
301,IUPUI,32.1,-5.9
302,PV A&M,32.1,-5.9
303,Southern Miss,31.7,-6.1
304,Fairfield,31.7,-6.1
305,Troy,31.6,-6.1
306,New Orleans,31.1,-6.3
307,Jacksonville St,31.1,-6.3
308,Utah Valley,31,-6.3
309,UMass Lowell,30.9,-6.4
310,Loyola (MD),30,-6.7
311,Jackson State,29.5,-6.9
312,Southern Utah,29.5,-6.9
313,Niagara,29.1,-7
314,North Dakota,29,-7.1
315,Wagner,28.9,-7.1
316,The Citadel,28.7,-7.2
317,Longwood,28.3,-7.3
318,Marist,27.6,-7.6
319,AR-Pine Bluff,27,-7.9
320,Abilene Christian,26.7,-8
321,Idaho State,26.6,-8
322,Austin Peay,26.2,-8.2
323,Montana State,25.8,-8.4
324,Coppin State,25.7,-8.4
325,Presbyterian,25.2,-8.6
326,Chicago State,24.9,-8.7
327,Liberty,24.8,-8.8
328,Fair Dickinson,24.7,-8.8
329,Nicholls State,24.5,-8.9
330,S Carolina St,24.2,-9
331,W Illinois,24.1,-9.1
332,Kennesaw St,23.9,-9.2
333,Jacksonville,23.9,-9.2
334,Bethune-Cookman,23.6,-9.3
335,UT Pan American,23.2,-9.5
336,Alabama A&M,23.1,-9.5
337,Binghamton,22.6,-9.7
338,Savannah State,22,-10
339,N Carolina A&T,21.7,-10.1
340,Morgan State,21.6,-10.2
341,Stetson,21.3,-10.3
342,Tennessee St,21,-10.5
343,UMBC,18.2,-11.9
344,Maine,17.3,-12.4
345,Cent Conn St,17,-12.5
346,San Jose State,16.7,-12.7
347,Alcorn State,15.6,-13.4
348,Miss Valley St,15.3,-13.6
349,Cent Arkansas,11.2,-16.4
350,Grambling St,8.9,-18.4
351,Florida A&M,8.6,-18.7
